last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Suero, Wander,R,,,60.8,70.3,,,78.6
Hader, Josh,L,,97.8,,,,36.9,
Yardley, Eric,R,,99.1,,,,,77.9
Milner, Hoby,L,,95,,,,,64.5
Topa, Justin,R,,87.3,,,,56.6,
Britton, Zack,L,,81.3,,,,55.4,
Avilán, Luis,L,,90.9,,74.8,,,
Ottavino, Adam,R,,77,30.8,75.2,,63.7,
Bleier, Richard,L,,84.8,55.2,97.6,,45,
Graterol, Brusdar,R,,91.7,,,,29.3,
Hahn, Jesse,R,,99.2,,,,73.2,94.5
Singer, Brady,R,,87.1,,97.1,,34.7,
McCullers Jr., Lance,R,,79.4,49,89.4,,,71.5
Sneed, Cy,R,,,88.6,,,36.2,73.6
Scrubb, Andre,R,,,74.1,,,,92.6
Tinoco, Jesus,R,,89.7,,,,21.1,34.2
Pazos, James,L,,91.4,,,,40.5,
Jones, Nate,R,,88.2,,,,20,
De León, José,R,,98.5,,94.5,,49,
Tarpley, Stephen,L,,78.9,,,,,50.1
Kintzler, Brandon,R,,86.4,,96.9,,14.8,
Melancon, Mark,R,,,60.9,,,,81
Greene, Shane,R,,85.1,45.8,88.7,,52.2,
Arrieta, Jake,R,,85.8,,90.8,,44.4,76.5
Hunter, Tommy,R,,80.9,56.1,,,,54.6
Smith, Riley,R,,86.1,,,,29.5,72.9
Rogers, Taylor,L,,93.1,,,,54.1,
Poppen, Sean,R,,97.2,,,,50.1,
Bass, Anthony,R,,95.1,,,,32.9,
Murphy, Patrick,R,,88.5,,,,,78.8
Crichton, Stefan,R,,97.2,,,,,79.6
Borucki, Ryan,L,,96.4,,92.9,,22.2,
Zeuch, T.J.,R,,80.4,38.9,97.2,,29.5,
Dolis, Rafael,R,,93.2,,,,39.8,
Hernández, Jonathan,R,,99.2,,95.3,,29.1,
King, John,L,,83.2,,97,,41.8,
Loup, Aaron,L,,96.4,14.6,99.3,,,72
Fleming, Josh,L,,91.1,40.3,76.2,,,
Sherriff, Ryan,L,,83.1,,,,29.9,
Kittredge, Andrew,R,,83.3,,,,40,
Yarbrough, Ryan,L,,97.6,43,94.8,,,78.3
Alvarado, José,L,,84.5,21,,,,35.7
Roe, Chaz,R,,73.4,38.9,,,73.5,
Castillo, Diego,R,,93.4,,,,13.6,
Elledge, Seth,R,,98.1,,,,52,
Cobb, Alex,R,,97.3,,,,,65.7
Watson, Tony,L,,95.3,,99.6,,17,
Gonzales, Marco,L,,99.2,60.3,99.4,,,87.7
Fletcher, Aaron,L,,98.2,,89.8,,33.1,
Guilbeau, Taylor,L,,78.5,,95.9,,8.6,
Sheffield, Justus,L,,87.5,,83,,34.7,
Sadler, Casey,R,,86.2,31.1,87.1,,,58
Brennan, Brandon,R,,89,,99.3,,26.5,
Shaw, Bryan,R,,,52.2,,,52.2,70.4
Grotz, Zac,R,,94.4,,,,11.2,36.3
Perdomo, Luis,R,,91.9,,,,13.8,
Guerra, Javy,R,,93.9,,,,33.1,
Davies, Zach,R,,98.2,80.3,98.6,,,69.9
Manaea, Sean,L,,92.2,,84,,48.8,39.7
McFarland, T.J.,L,,87,,92.7,,54.7,
Ramírez, Erasmo,R,,84.2,61.8,84.4,,,38.1
Castro, Miguel,R,,96.2,,91,,33.3,
Matz, Steven,L,,99.4,,85.4,,39.9,86.1
Valdez, Phillips,R,,95,,80.4,,39.9,
Bacus, Dakota,R,,61.3,,,,18.8,84.4
Hartlieb, Geoff,R,,78.5,,,,42.7,
Finnegan, Kyle,R,,99.6,,,,47.8,
Weber, Ryan,R,,93.2,43.4,96.2,,,82.6
Antone, Tejay,R,,86,,,,41.5,81.1
Harris, Will,R,,,64,,,,90.5
Triggs, Andrew,R,,70.7,,,,23.7,66.8
Alexander, Scott,L,,81,,,,23.9,
Wood, Alex,L,,97.6,,94.7,,14.3,
Santana, Dennis,R,,83.5,,82.9,,25.2,
Jansen, Kenley,R,,87.1,70.8,,,50.4,
Brewer, Colten,R,,,63.8,,,39.8,82.8
Banda, Anthony,L,99.6,,,96.8,,,
Anderson, Ian,R,99.6,,,98.2,,,62.1
Harvey, Hunter,R,99.6,,,93.5,,,72.4
Barnes, Matt,R,99.6,,,,,,70.4
Goudeau, Ashton,R,99.6,,,97.8,,,81.1
Smith, Caleb,L,99.5,,,99.4,,18.6,52.3
Paddack, Chris,R,99.5,,43.3,94.9,,,94.5
