last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Bleier, Richard,L,,79,22.4,,,40.7,
Britton, Zack,L,,77,,,,53,
Manaea, Sean,L,,90.4,,79.6,,,28.7
Moll, Sam,L,,73.2,,,,48.2,
Tate, Dillon,R,,91.5,19.6,95.2,,,
Kolarek, Adam,L,,88,,88.4,,47.5,
Wade, Konner,R,,92.2,50.4,100,,,
Rodriguez, Chris,R,,99.6,,93.5,,28.6,69.2
Loup, Aaron,L,,96.9,10.5,89.3,,,84.7
Lucchesi, Joey,L,,92.8,79.9,,,,26.2
Reed, Jake,R,,85.3,,,,47.1,
Abad, Fernando,L,,88.1,,84.1,,,59.6
Holmes, Clay,R,,81.1,,,,21.5,75.4
Castro, Miguel,R,,95.9,,98.1,,50.9,
Finnegan, Kyle,R,,95.3,,,,36.7,
Suero, Wander,R,,,59.4,63.4,,,71.6
Avilán, Luis,L,,90.9,,70,,,
Thompson, Mason,R,,88.4,,,,31.8,
Clay, Sam,L,,87.9,,81.5,,58.8,
Harris, Will,R,,,61.4,,,,87.8
Alexander, Scott,L,,73.2,,82.4,,34.2,
Valdez, Phillips,R,,91.3,,86.9,,30.9,
Uceta, Edwin,R,,93.5,,93,,,34.3
Bruihl, Justin,L,,72.8,35,,,63.7,
Barnes, Charlie,L,,87.3,,89.5,,25.8,
Greene, Shane,R,,91.7,42.1,74.1,,67.1,
Dobnak, Randy,R,,86.2,,94.2,,17.1,
Jansen, Kenley,R,,94.1,82.1,,,46.4,
Graterol, Brusdar,R,,85.6,30.5,,,47,
Davies, Zach,R,,94.1,62.5,79.7,,,67.5
De León, José,R,,93.4,,87.3,,72.1,
Rogers, Taylor,L,,96.5,,,,49.4,
Bender, Anthony,R,,80.4,,,,46.6,
Kintzler, Brandon,R,,96.5,,94.6,,15,
Sampson, Adrian,R,,92,,89,,38.8,
Crouse, Hans,R,,95.8,,85.2,,26.4,
González, Victor,L,,94.8,,,,14.2,
Pop, Zach,R,,87.8,,,,34.2,
Sánchez, Cristopher,L,,97.3,,86.2,,11.9,
Emanuel, Kent,L,,92.5,,86.2,,66.9,
McCullers Jr., Lance,R,,73.7,29.5,94.9,,62.6,73.4
Scrubb, Andre,R,,,70,,,,91.7
Stewart, Kohl,R,,74.3,33.6,,,,
Hader, Josh,L,,100,,87.6,,20.9,
Santana, Edgar,R,,83.1,,,,15.1,
Garcia, Bryan,R,,89.8,,92.6,,28,
Antone, Tejay,R,,85.8,,,,54,94.2
Lawrence, Justin,R,,88.6,,,,67.9,
Bummer, Aaron,L,,82.4,11.9,,,87.6,
Mazza, Chris,R,,99.1,34.2,,,57.2,
Chavez, Jesse,R,,93.5,57.6,86.3,,35,
Clase, Emmanuel,R,,,49,,,33.5,
Fry, Jace,L,,80.9,21.7,,,,55.3
Osich, Josh,L,,,24.9,87.7,,,
Rowen, Ben,R,,73.5,,,,79.7,
Petricka, Jake,R,,100,,77.8,,,
Robertson, David,R,,,79.5,,,57.2,63.1
Cousins, Jake,R,,93.5,,,,39.8,
Yarbrough, Ryan,L,,90,28.9,85.6,,,69.7
Diaz, Jhonathan,L,,83.8,,83.8,,68,
Sherriff, Ryan,L,,96.5,,,,52.1,
Yardley, Eric,R,,94.3,,85.4,,,73.3
Reed, Cody,L,,96.6,,,,28.4,
Hudson, Dakota,R,,77,,,,26.5,44.5
Hoyt, James,R,,92.6,,,,8.9,
Anderson, Brett,L,,93.1,42.1,88.6,,42.1,71.8
Elledge, Seth,R,,89.5,,,,45.1,
Fernández, Junior,R,,90.4,,73,,34.1,
Fleming, Josh,L,,99.6,29,75.1,,,46.9
Milner, Hoby,L,,85.9,,87.5,,,81.6
McFarland, T.J.,L,,89.9,,86.1,,33.9,
Dunning, Dane,R,,79.5,28.5,92.6,,43,90.1
Hicks, Jordan,R,,98.2,29,,,42.6,
King, John,L,,82.9,34.8,79.4,,47.2,
Romano, Sal,R,,88.7,,,,21.1,50.5
Poppen, Sean,R,,82.5,,96.5,,75.7,
García, Luis,R,,87.3,,,,26.2,
Smith, Riley,R,,83.5,26.5,94.3,,20.9,67
Wood, Alex,L,,94.9,,80.3,,31.1,
Doval, Camilo,R,,,60,,,35.8,
Crichton, Stefan,R,,98.2,,,,,69.6
de Geus, Brett,R,,89.3,28.1,,,,77.4
Weber, Ryan,R,,94.6,,,,,83.4
Luetge, Lucas,L,,,36.2,,,43.5,91.8
Sheffield, Justus,L,,82.6,,67.7,,38.9,
McCaughan, Darren,R,,74.3,,72.9,,31.7,
Sadler, Casey,R,,89.7,28.2,,,,70.7
Peacock, Matt,R,,90.8,,94.2,,7.4,
Arrieta, Jake,R,,89.5,,89.5,,33.7,75.4
Stammen, Craig,R,,86,42.1,,,,69.8
Dolis, Rafael,R,,95.9,,,,37.5,
Matz, Steven,L,,94,,76.4,,26.5,78.8
Ramirez, Nick,L,,94.8,47.2,86.5,,26.4,
Zeuch, T.J.,R,,91,30.5,81.8,,18.2,
Mayza, Tim,L,,96.2,,,,14.9,
Borucki, Ryan,L,,97,,86.5,,17.5,
Baragar, Caleb,L,99.8,,,,,36.1,
Smith, Caleb,L,99.7,,,94.7,,33.3,48.2
Evans, Demarcus,R,99.2,,53.2,,,,25
Kazmir, Scott,L,99.1,,,85,,36.3,
Cotton, Jharel,R,99,,,67.3,,45.1,69
Falter, Bailey,L,98.7,99.4,,89.5,,31.8,
Cole, Gerrit,R,98.7,100,,98.5,,27,74.8
Mahle, Tyler,R,98.2,,36.8,,,31.1,
Bowden, Ben,L,98.1,,,90.4,,16.6,
García, Deivi,R,98,,,91.4,,57.6,82.2
Benjamin, Wes,L,97.5,,27.4,85.7,,,71.5
Heaney, Andrew,L,97.3,,,89.6,,,39.2
Robles, Hansel,R,97.2,,,92.4,,21.5,
Urquidy, José,R,97.2,,,92.5,,60.5,77.9
Springs, Jeffrey,L,96.9,,,91.2,,28.3,
Stephenson, Robert,R,96.7,,,,,35.6,61.3
Canning, Griffin,R,96.5,,,100,,14.2,50.7
García, Jarlín,L,96.5,,,91.3,,29.8,
Hoffman, Jeff,R,96.4,,,90.5,,39.8,80.2
Odorizzi, Jake,R,96.3,,50,,,36.8,54.5
Richards, Trevor,R,96.3,,,79,,,21.9
Vesia, Alex,L,96.2,,,87.5,,37.7,
Bergen, Travis,L,96.2,,,,,,39.8
Stashak, Cody,R,96.2,,,,,42.4,
Morgan, Eli,R,96.1,,,71.9,,32.7,60.2
